,Color,Block size,Num. coeffs,Distance measure,Feature vec. dim.,MAP@1,MAP@5
0,gray,256,64,L1,64.0,0.9333333333333333,0.94
1,gray,256,64,L2,64.0,0.7333333333333333,0.7733333333333333
2,gray,256,64,Cosine,64.0,0.9666666666666667,0.9666666666666667
3,gray,256,64,Pearson,64.0,0.9666666666666667,0.9666666666666667
4,gray,256,32,L1,32.0,0.8666666666666667,0.9
5,gray,256,32,L2,32.0,0.6666666666666666,0.7083333333333334
6,gray,256,32,Cosine,32.0,0.9666666666666667,0.9666666666666667
7,gray,256,32,Pearson,32.0,0.9666666666666667,0.9666666666666667
8,gray,256,16,L1,16.0,0.7333333333333333,0.7722222222222223
9,gray,256,16,L2,16.0,0.6333333333333333,0.6566666666666666
10,gray,256,16,Cosine,16.0,0.9333333333333333,0.95
11,gray,256,16,Pearson,16.0,0.9333333333333333,0.9444444444444444
12,gray,256,8,L1,8.0,0.6333333333333333,0.6805555555555555
13,gray,256,8,L2,8.0,0.5,0.5333333333333333
14,gray,256,8,Cosine,8.0,0.8,0.8666666666666667
15,gray,256,8,Pearson,8.0,0.6333333333333333,0.75
16,gray,256,4,L1,4.0,0.3,0.3788888888888889
17,gray,256,4,L2,4.0,0.3,0.38
18,gray,256,4,Cosine,4.0,0.26666666666666666,0.41444444444444445
19,gray,256,4,Pearson,4.0,0.03333333333333333,0.125
20,gray,128,64,L1,256.0,0.9333333333333333,0.94
21,gray,128,64,L2,256.0,0.8,0.825
22,gray,128,64,Cosine,256.0,0.9666666666666667,0.975
23,gray,128,64,Pearson,256.0,0.9666666666666667,0.975
24,gray,128,32,L1,128.0,0.9333333333333333,0.9333333333333333
25,gray,128,32,L2,128.0,0.8,0.8111111111111112
26,gray,128,32,Cosine,128.0,0.9666666666666667,0.9666666666666667
27,gray,128,32,Pearson,128.0,0.9666666666666667,0.9666666666666667
28,gray,128,16,L1,64.0,0.9,0.9166666666666666
29,gray,128,16,L2,64.0,0.7666666666666667,0.7899999999999999
30,gray,128,16,Cosine,64.0,0.9666666666666667,0.9666666666666667
31,gray,128,16,Pearson,64.0,0.9666666666666667,0.9666666666666667
32,gray,128,8,L1,32.0,0.7666666666666667,0.7916666666666666
33,gray,128,8,L2,32.0,0.6666666666666666,0.7011111111111111
34,gray,128,8,Cosine,32.0,0.9666666666666667,0.9666666666666667
35,gray,128,8,Pearson,32.0,0.9333333333333333,0.95
36,gray,128,4,L1,16.0,0.6666666666666666,0.6883333333333332
37,gray,128,4,L2,16.0,0.6,0.6166666666666667
38,gray,128,4,Cosine,16.0,0.9,0.925
39,gray,128,4,Pearson,16.0,0.9,0.9233333333333333
40,gray,64,64,L1,1024.0,0.9,0.9066666666666666
