Color,Rescale,Radius,Points,Method,Blocks,Distance,MAP@1,MAP@5
gray,True,1,8,default,1,intersection,0.2333333333333333,0.2861111111111111
gray,True,1,8,default,1,correlation,0.2333333333333333,0.2816666666666666
gray,True,1,8,default,1,bhattacharyya,0.3,0.325
gray,True,1,8,default,4,intersection,0.4,0.4511111111111111
gray,True,1,8,default,4,correlation,0.4,0.4305555555555555
gray,True,1,8,default,4,bhattacharyya,0.4666666666666667,0.5055555555555555
gray,True,1,8,default,16,intersection,0.6,0.6261111111111111
gray,True,1,8,default,16,correlation,0.5666666666666667,0.5833333333333334
gray,True,1,8,default,16,bhattacharyya,0.6,0.6261111111111111
gray,True,1,8,default,64,intersection,0.8333333333333334,0.8955555555555555
gray,True,1,8,default,64,correlation,0.7333333333333333,0.801111111111111
gray,True,1,8,default,64,bhattacharyya,0.7666666666666667,0.8455555555555556
gray,True,1,8,ror,1,intersection,0.0666666666666666,0.0944444444444444
gray,True,1,8,ror,1,correlation,0.0666666666666666,0.0966666666666666
gray,True,1,8,ror,1,bhattacharyya,0.1,0.1166666666666666
gray,True,1,8,ror,4,intersection,0.2,0.2277777777777777
gray,True,1,8,ror,4,correlation,0.2,0.2177777777777777
gray,True,1,8,ror,4,bhattacharyya,0.2,0.2344444444444444
gray,True,1,8,ror,16,intersection,0.3333333333333333,0.3633333333333333
gray,True,1,8,ror,16,correlation,0.3333333333333333,0.3899999999999999
gray,True,1,8,ror,16,bhattacharyya,0.3333333333333333,0.3483333333333333
gray,True,1,8,ror,64,intersection,0.4666666666666667,0.5
gray,True,1,8,ror,64,correlation,0.5333333333333333,0.55
gray,True,1,8,ror,64,bhattacharyya,0.5,0.5222222222222223
gray,True,1,8,uniform,1,intersection,0.0666666666666666,0.0861111111111111
gray,True,1,8,uniform,1,correlation,0.0666666666666666,0.0777777777777777
gray,True,1,8,uniform,1,bhattacharyya,0.0666666666666666,0.09
gray,True,1,8,uniform,4,intersection,0.2,0.2177777777777777
gray,True,1,8,uniform,4,correlation,0.2,0.2244444444444444
gray,True,1,8,uniform,4,bhattacharyya,0.2,0.2133333333333333
